id,business,investment,skills,customers,mobility,competitors,problems,success
73,Бизнес пример 73,930000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
74,Бизнес пример 74,940000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
75,Бизнес пример 75,950000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
76,Бизнес пример 76,960000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
77,Бизнес пример 77,970000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
78,Бизнес пример 78,980000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
79,Бизнес пример 79,990000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
80,Бизнес пример 80,1000000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
81,Бизнес пример 81,1010000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
82,Бизнес пример 82,1020000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
83,Бизнес пример 83,1030000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
84,Бизнес пример 84,1040000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
85,Бизнес пример 85,1050000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
86,Бизнес пример 86,1060000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
87,Бизнес пример 87,1070000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
88,Бизнес пример 88,1080000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
89,Бизнес пример 89,1090000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
90,Бизнес пример 90,1100000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
